,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,2759172,2759615,2759497,2759490,2759769,2759606,2759339,2759466,2759462,2759706,2759205,2759890,2759925,2759401,2759358,2760000,2759378,2759995,2759855,2759202,2759715,2760043,2759505,2759391,2759251,2760021,2758955,2758949,2759186,2759145,2759849,2759169,2759723,2759820,2759819,2759824,2759694,2759081,2759522,2759127,2759055,2759357,2759346,2759751,2759010,2760051,2759137,2759847,2760006,2759213,2758969,2759663,2758921,2759879,2759715,2759541,2759140,2759189,2759873,2759759,2759252,2760109,2759732,2759283,2759372,2760111,2759967,2759890,2759691,2760016,2759277,2759647,2759715,2759767,2759022,2759589,2759095,2759506,2758944,2759027,2759391,2758945,2759883,2759623,2760004,2759274,2759735,2759361,2759661,2759807,2759930,2758944,2759897,2759609,2759254,2759049,2759473,2759939,2759492
1,2760104,2759321,2759762,2760106,2760087,2760056,2759337,2759252,2759841,2759269,2759091,2759149,2759307,2759456,2760005,2759154,2759282,2760101,2759808,2759624,2759602,2759772,2759298,2759963,2759096,2758916,2760038,2759823,2759875,2759517,2759693,2759091,2759622,2758961,2760052,2759495,2759594,2759654,2759652,2759202,2759853,2759386,2759824,2759235,2759890,2759616,2759141,2759577,2759628,2759871,2758926,2759371,2759571,2759724,2759075,2759378,2759517,2760012,2759732,2758959,2759556,2759689,2759834,2759148,2759210,2759961,2759261,2760076,2759243,2759759,2758951,2759710,2759188,2759927,2759298,2760040,2759240,2759547,2759846,2759187,2760085,2759296,2760137,2760129,2759123,2759336,2760109,2759564,2759576,2760026,2759864,2758979,2759634,2759555,2759948,2758953,2759028,2759857,2759663
2,2759069,2760043,2759502,2759652,2759708,2759988,2759530,2759595,2759300,2759309,2760047,2760069,2759788,2759634,2758944,2759158,2758942,2759457,2759073,2759064,2759105,2760050,2759499,2759125,2759581,2759568,2759248,2759792,2759117,2759798,2758932,2759793,2759778,2759191,2759577,2759351,2760043,2759029,2759495,2759351,2758920,2759658,2759139,2760085,2759558,2759208,2759031,2759211,2759551,2759582,2758917,2760027,2759761,2758943,2759789,2759859,2759754,2759547,2759736,2760114,2759711,2760050,2759706,2759480,2760106,2759293,2759309,2759240,2759304,2759061,2759799,2758958,2759527,2759303,2759355,2759645,2759500,2759340,2760131,2759490,2759755,2759574,2759098,2759522,2759550,2759119,2758961,2758926,2759183,2760069,2759689,2760121,2759548,2760085,2759289,2759745,2759524,2759552,2760125
3,2759266,2759435,2759459,2759954,2760140,2758949,2760135,2759193,2759641,2758914,2759539,2759240,2759203,2760104,2759135,2758964,2759275,2759249,2759976,2759732,2758958,2759388,2759963,2759819,2759124,2759796,2759851,2759580,2760032,2758959,2759395,2759304,2759494,2759551,2759927,2759775,2759330,2759039,2759638,2759608,2759983,2759464,2759769,2759252,2759789,2759356,2760079,2759905,2759865,2759207,2759813,2759373,2760052,2759727,2759817,2759678,2759822,2760075,2759808,2760045,2759988,2759674,2759895,2760137,2759350,2759187,2759899,2759461,2758976,2759387,2759035,2759881,2759517,2759015,2759635,2759367,2759507,2759260,2759601,2759785,2759283,2759213,2759103,2759543,2760094,2758977,2759965,2760109,2759165,2759144,2759674,2759096,2759957,2760055,2759157,2759780,2759457,2758943,2759073
4,2759823,2759465,2759861,2758980,2759541,2759763,2759315,2759156,2759563,2759922,2759622,2759219,2759345,2759662,2759284,2759061,2759966,2759496,2759274,2759294,2759710,2759211,2759266,2760027,2759018,2759336,2759645,2759748,2759088,2760088,2759577,2759566,2759344,2759986,2759163,2759299,2759796,2759093,2760045,2760143,2760137,2760003,2759684,2759762,2759755,2759200,2759485,2759947,2759163,2759097,2760050,2760104,2758936,2759783,2759123,2759069,2760086,2759316,2759183,2759662,2759389,2759351,2759065,2759356,2759165,2759742,2759102,2759152,2760129,2759769,2759853,2760054,2758985,2759698,2759667,2759347,2759389,2760028,2759968,2759288,2759702,2759818,2759011,2760119,2758920,2760132,2759564,2759701,2759372,2759980,2759541,2758969,2759291,2759857,2759521,2759452,2759432,2759239,2759108
5,2760040,2759012,2759627,2759592,2760040,2759944,2759112,2760051,2759673,2758990,2759963,2759251,2759266,2759864,2759514,2759570,2759268,2759477,2759849,2758935,2759191,2759152,2759842,2759149,2760101,2759910,2759198,2759612,2759045,2759894,2759361,2759724,2760077,2760001,2760060,2759348,2759314,2759678,2759822,2759268,2759476,2759895,2759246,2759797,2759349,2759757,2758922,2759038,2759314,2759933,2759060,2759875,2759906,2759559,2758977,2759919,2760085,2759976,2759118,2759193,2759838,2759843,2759598,2759088,2758965,2759875,2759015,2759557,2759389,2759944,2759730,2759851,2759790,2759230,2759509,2758989,2760014,2759886,2759047,2760133,2759207,2760055,2759870,2759674,2759921,2759995,2759820,2758959,2759724,2759466,2758922,2759054,2759642,2758999,2759315,2759254,2759154,2759268,2759298
6,2759631,2759161,2759638,2759770,2760052,2759797,2760019,2759562,2759857,2759000,2759322,2758953,2759858,2759566,2759365,2759804,2759191,2759452,2759399,2759734,2759505,2759842,2758978,2759727,2759117,2760090,2759980,2759070,2759499,2759842,2759711,2760019,2760065,2759553,2760142,2759898,2759732,2760127,2759702,2759648,2759557,2759186,2759781,2759219,2759069,2759076,2759100,2759460,2759590,2759698,2759100,2759225,2759475,2758924,2759158,2759016,2759526,2759735,2759804,2759125,2759477,2759465,2759868,2759342,2760014,2759257,2759927,2759781,2759187,2759716,2759888,2759722,2759484,2759872,2759618,2759828,2759382,2760063,2759074,2759883,2759101,2759985,2759992,2759245,2759734,2760059,2759233,2759941,2759173,2759681,2759883,2759507,2758959,2758929,2759828,2759477,2759598,2759818,2759228
7,2759217,2759862,2759118,2760113,2759088,2759926,2759857,2759069,2759661,2759824,2759454,2759778,2758954,2758946,2760141,2760121,2759564,2759228,2759804,2759524,2760019,2759110,2760069,2759734,2759320,2759298,2759108,2759169,2759755,2759061,2759658,2759316,2759183,2759272,2759286,2759188,2759013,2759980,2759450,2759473,2760090,2759024,2759106,2759125,2759635,2759846,2759294,2759873,2759285,2759663,2759971,2759321,2759901,2759441,2759805,2759238,2759846,2758945,2759300,2759762,2759679,2759268,2759315,2759362,2759857,2759158,2759692,2759690,2759322,2759197,2759833,2758980,2758959,2759567,2759612,2759455,2759047,2759449,2759875,2759885,2758939,2760086,2759323,2759567,2759848,2759359,2759985,2759574,2759772,2759346,2760121,2759013,2759195,2759235,2759682,2758955,2759686,2759488,2759076
8,2760106,2759366,2760096,2759979,2758965,2759571,2759006,2758971,2759203,2759874,2759064,2759095,2759548,2759693,2759754,2759589,2759865,2760135,2759050,2759396,2759207,2759678,2758953,2759284,2759494,2759485,2759112,2759009,2759462,2759478,2760079,2759173,2760068,2759933,2759699,2759178,2759354,2759477,2760130,2760038,2759484,2759956,2759355,2759650,2759068,2759272,2759345,2759344,2760093,2759956,2759167,2759015,2759302,2759689,2759837,2759627,2759545,2759372,2759642,2759382,2760133,2760111,2759153,2759024,2759457,2759571,2759394,2759870,2759922,2759555,2759734,2760090,2759157,2759517,2760043,2759887,2759627,2759906,2759558,2759141,2759401,2760124,2759072,2760085,2759155,2759346,2759550,2759600,2759905,2759946,2759380,2759140,2759010,2759176,2759396,2759707,2759365,2760000,2759160
9,2759194,2760101,2759201,2759804,2759788,2759701,2759020,2759984,2759226,2760068,2760008,2759612,2759502,2759789,2759053,2759838,2760058,2759454,2760039,2759465,2758951,2759558,2760041,2759441,2759034,2759665,2759268,2759585,2759146,2759826,2760112,2758947,2759072,2759990,2759081,2759846,2760114,2759601,2759350,2760092,2759985,2759662,2759987,2759391,2759798,2759095,2759563,2759267,2758958,2759576,2759230,2759723,2759696,2759456,2759347,2759772,2759135,2759847,2760129,2759163,2759246,2759699,2759390,2759663,2759947,2759062,2759867,2759370,2760052,2759951,2759479,2759803,2759491,2759350,2759998,2759594,2759049,2759847,2759918,2758923,2760021,2760026,2759713,2759476,2759116,2759218,2759528,2758921,2759768,2758959,2759662,2759606,2759979,2759199,2759536,2759956,2760142,2759499,2758923
